139	4	41	1
140	36	1109	4
141	14	414	1
142	34	656	4
143	8	417	1
144	9	211	1
145	19	447	2
146	8	582	1
147	7	247	2
148	33	934	6
149	20	305	2
150	19	1251	2
152	15	335	2
153	29	430	4
154	11	109	1
155	6	63	1
156	9	107	1
157	18	297	4
158	40	626	5
159	13	1219	2
160	1	15	1
161	4	61	1
163	21	206	2
164	13	131	2
165	29	1169	5
166	23	3712	4
167	19	527	4
169	5	35	1
170	15	537	3
171	37	2071	3
172	28	402	3
173	25	1247	3
174	20	439	2
175	32	559	4
176	23	559	3
177	48	2689	5
178	37	1203	4
179	1	17	1
181	26	2999	4
182	31	1018	4
184	11	506	2
185	12	75	2
186	6	189	2
187	27	1817	2
190	11	221	1
191	22	756	3
192	81	3428	6
193	15	382	3
194	11	270	1
195	3	23	1
197	19	791	2
198	34	550	4
199	11	1229	2
201	11	293	1
202	24	478	4
203	27	576	3
205	33	935	5
206	19	350	3
207	12	1143	1
208	20	830	3
209	33	546	4
211	5	51	2
213	35	1032	3
214	22	1086	4
215	35	795	4
217	27	2223	4
218	4	56	1
219	11	910	1
220	3	72	1
221	8	677	1
222	41	1492	4
224	18	329	3
225	7	429	2
226	55	1569	6
227	37	1439	4
228	20	869	3
229	32	1664	3
230	17	1153	3
231	3	129	2
232	29	542	2
233	21	241	2
234	36	1465	6
235	24	945	3
236	18	497	2
237	12	525	2
239	12	370	2
240	29	1044	4
242	21	339	3
244	6	154	1
245	13	272	3
247	22	470	2
248	14	192	2
249	7	342	1
250	12	260	2
252	15	676	4
253	11	158	2
255	28	276	3
256	35	1759	4
257	7	104	1
258	7	283	1
260	29	951	4
261	3	176	1
262	2	9	1
263	15	403	3
264	15	309	2
265	8	88	2
267	14	609	3
268	1	4	1
269	11	593	1
270	43	1896	5
271	8	113	2
272	12	441	2
273	17	382	2
274	9	246	2
275	21	359	3
276	34	757	4
277	4	296	1
278	27	1024	4
279	18	691	3
280	22	416	2
281	20	1437	3
282	3	5	1
283	5	83	1
284	15	1030	2
285	16	1504	2
287	17	595	1
288	27	2626	3
289	13	468	2
290	6	133	2
291	7	46	1
292	26	443	4
293	33	681	5
294	7	158	1
295	5	36	2
296	21	606	2
297	18	169	2
298	6	140	1
299	18	254	2
300	25	288	4
301	11	695	2
303	25	341	3
304	12	163	1
307	14	359	2
308	11	635	2
309	8	422	1
310	10	222	2
311	8	285	1
313	12	560	1
314	32	655	3
315	17	428	3
316	6	241	1
317	10	73	1
318	16	234	2
319	13	472	2
321	40	1485	4
322	19	1213	3
323	42	1422	3
324	44	1620	5
325	15	1054	3
326	14	895	2
327	13	583	4
328	9	430	1
329	32	1218	3
330	16	271	2
331	10	121	1
333	11	804	2
334	16	616	2
335	18	491	2
336	3	50	1
337	54	1303	5
338	13	112	1
339	12	1176	2
340	19	296	3
341	1	0	1
342	17	450	2
343	5	107	2
344	23	621	4
346	6	818	1
347	10	188	1
348	35	1906	3
349	24	574	3
350	7	201	3
351	17	527	2
352	26	840	2
353	16	226	3
354	5	417	2
355	25	359	2
356	28	1060	4
357	29	782	4
358	14	852	1
359	4	43	1
360	2	26	1
361	26	804	3
362	2	14	1
363	9	275	1
364	16	610	2
365	24	1113	3
366	10	141	2
367	44	2082	5
368	67	1658	9
369	25	776	3
370	39	589	5
371	36	549	5
372	23	633	4
373	2	15	1
374	28	531	2
375	3	17	1
376	4	64	1
377	20	268	5
378	6	191	1
379	9	168	1
380	16	249	2
381	3	113	1
382	35	1107	3
383	11	137	1
385	28	837	3
386	26	376	4
387	7	234	1
388	13	210	2
389	5	390	1
390	24	1315	4
392	8	179	1
393	16	715	3
396	4	75	1
397	8	174	2
398	24	620	2
399	29	456	3
400	30	473	4
401	19	1612	2
402	2	8	1
403	51	959	7
404	13	692	2
405	37	1281	5
407	15	113	2
408	29	961	4
409	26	696	2
410	22	523	2
411	15	296	2
413	25	997	4
414	2	17	1
415	25	1260	2
416	28	1137	3
417	10	253	1
418	7	94	1
419	24	511	4
420	11	236	1
422	24	337	3
423	29	924	4
424	14	601	2
425	54	1735	6
426	12	113	1
427	24	615	3
428	8	114	3
429	23	674	3
431	57	1828	6
432	8	206	2
433	24	503	3
434	18	1222	2
435	24	516	3
436	1	5	1
437	8	77	1
438	9	66	2
439	4	203	1
441	12	3536	1
442	20	216	2
444	7	78	2
446	7	563	2
447	4	101	2
448	24	416	3
449	17	241	2
450	17	268	3
451	13	321	3
452	51	2060	5
453	8	145	1
454	17	2382	4
455	6	107	1
456	31	2242	4
457	6	244	1
458	7	233	3
459	34	2868	3
460	11	191	2
461	20	762	2
462	14	309	2
463	7	250	1
464	12	119	2
465	10	201	2
466	1	9	1
467	43	1014	4
468	23	3113	2
469	3	162	1
470	2	18	1
471	26	492	2
472	19	661	2
474	20	963	2
475	2	15	1
476	6	64	1
477	27	863	2
478	13	292	2
480	41	1103	4
481	15	185	2
483	19	250	3
484	10	288	1
485	9	184	1
486	7	53	1
487	9	92	1
488	11	162	1
489	2	15	1
491	24	1743	4
493	19	442	3
494	6	121	1
495	11	82	1
496	15	161	2
497	19	348	2
498	32	1456	4
499	20	893	3
