customer_id	recent	monetary	frequency
277	2018-6-29 00:00:00	296	1
278	2018-7-6 00:00:00	1024	4
279	2018-6-20 00:00:00	691	3
280	2018-6-10 00:00:00	416	2
281	2018-6-30 00:00:00	1437	3
282	2018-6-4 00:00:00	5	1
283	2018-6-21 00:00:00	83	1
284	2018-7-6 00:00:00	1030	2
285	2018-7-3 00:00:00	1504	2
287	2018-6-11 00:00:00	595	1
288	2018-7-3 00:00:00	2626	3
289	2018-6-20 00:00:00	468	2
290	2018-6-14 00:00:00	133	2
291	2018-6-12 00:00:00	46	1
292	2018-7-7 00:00:00	443	4
293	2018-6-27 00:00:00	681	5
294	2018-5-26 00:00:00	158	1
295	2018-6-26 00:00:00	36	2
296	2018-6-16 00:00:00	606	2
297	2018-6-6 00:00:00	169	2
298	2018-5-31 00:00:00	140	1
299	2018-7-6 00:00:00	254	2
300	2018-7-2 00:00:00	288	4
301	2018-5-27 00:00:00	695	2
303	2018-7-9 00:00:00	341	3
304	2018-6-9 00:00:00	163	1
307	2018-6-30 00:00:00	359	2
308	2018-6-19 00:00:00	635	2
309	2018-5-22 00:00:00	422	1
310	2018-7-1 00:00:00	222	2
311	2018-7-5 00:00:00	285	1
313	2018-6-13 00:00:00	560	1
314	2018-7-10 00:00:00	655	3
315	2018-7-8 00:00:00	428	3
316	2018-6-29 00:00:00	241	1
317	2018-5-24 00:00:00	73	1
318	2018-6-24 00:00:00	234	2
319	2018-6-4 00:00:00	472	2
321	2018-6-19 00:00:00	1485	4
322	2018-6-26 00:00:00	1213	3
323	2018-6-26 00:00:00	1422	3
324	2018-7-7 00:00:00	1620	5
325	2018-6-18 00:00:00	1054	3
326	2018-7-6 00:00:00	895	2
327	2018-6-10 00:00:00	583	4
328	2018-7-4 00:00:00	430	1
329	2018-6-29 00:00:00	1218	3
330	2018-7-4 00:00:00	271	2
331	2018-5-24 00:00:00	121	1
333	2018-6-20 00:00:00	804	2
334	2018-6-5 00:00:00	616	2
335	2018-6-30 00:00:00	491	2
336	2018-6-30 00:00:00	50	1
337	2018-6-28 00:00:00	1303	5
338	2018-6-8 00:00:00	112	1
339	2018-6-17 00:00:00	1176	2
340	2018-6-21 00:00:00	296	3
341	2018-6-28 00:00:00	0	1
342	2018-6-24 00:00:00	450	2
343	2018-7-4 00:00:00	107	2
344	2018-6-27 00:00:00	621	4
346	2018-6-10 00:00:00	818	1
347	2018-5-23 00:00:00	188	1
348	2018-6-23 00:00:00	1906	3
349	2018-6-11 00:00:00	574	3
350	2018-7-9 00:00:00	201	3
351	2018-5-29 00:00:00	527	2
352	2018-6-12 00:00:00	840	2
353	2018-6-21 00:00:00	226	3
354	2018-6-21 00:00:00	417	2
355	2018-7-10 00:00:00	359	2
356	2018-7-2 00:00:00	1060	4
357	2018-7-8 00:00:00	782	4
358	2018-7-8 00:00:00	852	1
359	2018-6-3 00:00:00	43	1
360	2018-5-25 00:00:00	26	1
361	2018-7-1 00:00:00	804	3
362	2018-6-1 00:00:00	14	1
363	2018-6-12 00:00:00	275	1
364	2018-6-29 00:00:00	610	2
365	2018-7-10 00:00:00	1113	3
366	2018-6-30 00:00:00	141	2
367	2018-7-9 00:00:00	2082	5
368	2018-7-10 00:00:00	1658	9
369	2018-6-26 00:00:00	776	3
370	2018-7-3 00:00:00	589	5
371	2018-7-2 00:00:00	549	5
372	2018-7-6 00:00:00	633	4
373	2018-6-5 00:00:00	15	1
374	2018-7-5 00:00:00	531	2
375	2018-6-12 00:00:00	17	1
376	2018-7-10 00:00:00	64	1
377	2018-7-1 00:00:00	268	5
378	2018-6-15 00:00:00	191	1
379	2018-5-28 00:00:00	168	1
380	2018-6-23 00:00:00	249	2
381	2018-6-2 00:00:00	113	1
382	2018-7-7 00:00:00	1107	3
383	2018-5-24 00:00:00	137	1
385	2018-7-6 00:00:00	837	3
386	2018-6-22 00:00:00	376	4
387	2018-5-21 00:00:00	234	1
388	2018-7-8 00:00:00	210	2
389	2018-7-4 00:00:00	390	1
390	2018-6-10 00:00:00	1315	4
392	2018-6-3 00:00:00	179	1
393	2018-6-16 00:00:00	715	3
396	2018-6-26 00:00:00	75	1
397	2018-6-18 00:00:00	174	2
398	2018-7-9 00:00:00	620	2
399	2018-6-27 00:00:00	456	3
400	2018-7-10 00:00:00	473	4
401	2018-6-4 00:00:00	1612	2
402	2018-6-5 00:00:00	8	1
403	2018-6-30 00:00:00	959	7
404	2018-7-5 00:00:00	692	2
405	2018-7-6 00:00:00	1281	5
407	2018-7-9 00:00:00	113	2
408	2018-6-12 00:00:00	961	4
409	2018-7-3 00:00:00	696	2
410	2018-6-13 00:00:00	523	2
411	2018-7-1 00:00:00	296	2
413	2018-6-18 00:00:00	997	4
414	2018-5-24 00:00:00	17	1
415	2018-6-22 00:00:00	1260	2
416	2018-7-8 00:00:00	1137	3
417	2018-6-23 00:00:00	253	1
418	2018-7-1 00:00:00	94	1
419	2018-6-30 00:00:00	511	4
420	2018-6-27 00:00:00	236	1
422	2018-6-17 00:00:00	337	3
423	2018-7-6 00:00:00	924	4
424	2018-7-3 00:00:00	601	2
425	2018-7-10 00:00:00	1735	6
426	2018-5-23 00:00:00	113	1
427	2018-6-24 00:00:00	615	3
428	2018-6-8 00:00:00	114	3
429	2018-6-17 00:00:00	674	3
431	2018-7-4 00:00:00	1828	6
432	2018-6-27 00:00:00	206	2
433	2018-7-2 00:00:00	503	3
434	2018-7-8 00:00:00	1222	2
435	2018-7-7 00:00:00	516	3
436	2018-6-23 00:00:00	5	1
437	2018-7-9 00:00:00	77	1
438	2018-7-8 00:00:00	66	2
439	2018-6-5 00:00:00	203	1
441	2018-7-6 00:00:00	3536	1
442	2018-6-19 00:00:00	216	2
444	2018-7-6 00:00:00	78	2
446	2018-6-25 00:00:00	563	2
447	2018-6-15 00:00:00	101	2
448	2018-7-9 00:00:00	416	3
449	2018-7-1 00:00:00	241	2
450	2018-7-3 00:00:00	268	3
451	2018-6-25 00:00:00	321	3
452	2018-7-4 00:00:00	2060	5
453	2018-6-12 00:00:00	145	1
454	2018-7-4 00:00:00	2382	4
455	2018-6-12 00:00:00	107	1
456	2018-7-5 00:00:00	2242	4
457	2018-6-20 00:00:00	244	1
458	2018-7-5 00:00:00	233	3
459	2018-7-8 00:00:00	2868	3
460	2018-6-26 00:00:00	191	2
461	2018-6-29 00:00:00	762	2
462	2018-7-7 00:00:00	309	2
463	2018-6-30 00:00:00	250	1
464	2018-6-26 00:00:00	119	2
465	2018-6-9 00:00:00	201	2
466	2018-6-4 00:00:00	9	1
467	2018-7-6 00:00:00	1014	4
468	2018-7-3 00:00:00	3113	2
469	2018-6-25 00:00:00	162	1
470	2018-5-24 00:00:00	18	1
471	2018-6-13 00:00:00	492	2
472	2018-5-28 00:00:00	661	2
474	2018-6-15 00:00:00	963	2
475	2018-5-23 00:00:00	15	1
476	2018-7-5 00:00:00	64	1
477	2018-6-30 00:00:00	863	2
478	2018-7-9 00:00:00	292	2
480	2018-7-9 00:00:00	1103	4
481	2018-5-29 00:00:00	185	2
483	2018-7-8 00:00:00	250	3
484	2018-5-26 00:00:00	288	1
485	2018-6-29 00:00:00	184	1
486	2018-6-10 00:00:00	53	1
487	2018-5-24 00:00:00	92	1
488	2018-6-27 00:00:00	162	1
489	2018-6-13 00:00:00	15	1
491	2018-7-4 00:00:00	1743	4
493	2018-6-24 00:00:00	442	3
494	2018-7-6 00:00:00	121	1
495	2018-6-21 00:00:00	82	1
496	2018-7-4 00:00:00	161	2
497	2018-6-15 00:00:00	348	2
498	2018-6-24 00:00:00	1456	4
499	2018-7-9 00:00:00	893	3
